dt,total_sales,median_sales,n_records,avg_temp,avg_precpt,avg_humidity,avg_wind,holiday,activity,avg_discount,log_sales
2024-03-28,35787.337,0.5,50000,16.7642104,2.4986262360000002,74.5514022,1.7553989999999997,0,1,0.9383399889790296,10.485377337187362
2024-03-29,34893.476,0.5,50000,16.208005800000002,3.4906438659999997,76.57626640000001,1.66887,0,1,0.9411423547894667,10.460083814860498
2024-03-30,47995.157,0.7,50000,17.0338422,2.155091426,75.75003980000001,1.7859092,1,1,0.933432424046979,10.778876224184854
2024-03-31,49950.534,0.7,50000,17.3066694,1.97117269,76.7756294,1.7321520000000001,1,1,0.9322433234463977,10.818808494315846
2024-04-01,35607.989,0.5,50000,16.7940502,3.452170992,77.204052,1.5822498,0,1,0.9352543563192462,10.480353384967362
2024-04-02,38055.177,0.58,50000,17.1773648,3.2239397519999997,75.6422106,2.0485951999999994,0,1,0.9297601930660438,10.546818689141872
2024-04-03,35590.602,0.5,50000,17.8799644,2.191080208,75.445229,1.6833420000000001,0,1,0.9312277419375039,10.479864990135201
2024-04-04,46936.33,0.6,50000,17.298206399999998,1.555875392,74.44962380000001,1.823363,1,1,0.930898360929885,10.756568586662382
2024-04-05,42551.488,0.6,50000,17.5715906,1.8172716880000002,73.2165186,1.5990018,1,1,0.932385843491025,10.658493604677506
2024-04-06,49974.655,0.7,50000,18.0608944,2.549259506,77.7644534,1.6651268,1,1,0.9277475878463793,10.819291265835988
2024-04-07,42170.124,0.6,50000,17.9147822,1.867420572,78.8879426,1.4307738,0,1,0.9267686377902271,10.649491000404838
2024-04-08,40034.871,0.6,50000,17.7504524,1.9068049839999999,76.73370499999999,1.4963202000000002,0,1,0.9282583045060347,10.597531106233609
2024-04-09,40404.567,0.6,50000,18.339675800000002,3.72911936,77.40094859999999,1.7767692,0,1,0.922807758049736,10.606722851485806
2024-04-10,38066.377,0.5,50000,18.4252352,2.3118688460000003,75.9185422,1.8840174000000003,0,1,0.9220958740935183,10.54711294760702
2024-04-11,37696.003,0.5,50000,18.8896166,2.88194451,77.954595,1.8117603999999998,0,1,0.9222539186458827,10.537335874254905
2024-04-12,45434.918,0.6,50000,18.7439398,4.473543152,79.07878099999999,1.7533741999999999,0,1,0.9167724140678023,10.72405821661335
2024-04-13,55233.659,0.725,50000,19.227577,3.1583641099999995,80.1449944,1.7849622,1,1,0.9132172012630033,10.91934591566552
